attack,config,n,threshold,stampv40_fn,stampv40_fnr,stampv40_ci95_lower,stampv40_ci95_upper,stampv40_ci95_minus,stampv40_ci95_plus,silentcipher_fn,silentcipher_fnr,silentcipher_ci95_lower,silentcipher_ci95_upper,silentcipher_ci95_minus,silentcipher_ci95_plus
lowpass,0.5,250,32,38,0.152,0.11278704166232252,0.20174611602341536,0.039212958337677475,0.04974611602341536,195,0.78,0.7246261912502433,0.8268988542899677,0.055373808749756726,0.04689885428996765
mp3,08,250,32,242,0.968,0.9381368887054249,0.9836978302689277,0.029863111294575084,0.01569783026892768,170,0.68,0.619825530285745,0.7347262847043906,0.060174469714255,0.05472628470439056
mp3,16,250,32,95,0.38,0.3220763555106477,0.44155576782926187,0.05792364448935228,0.061555767829261865,179,0.716,0.6571607478551965,0.7683014301329661,0.058839252144803456,0.052301430132966176
mp3,24,250,32,71,0.284,0.2316985698670338,0.34283925214480343,0.052301430132966176,0.058839252144803456,181,0.724,0.6655137581859878,0.775706278246181,0.058486241814012185,0.051706278246181014
mp3,32,250,32,81,0.324,0.26902875602743026,0.38429835820443714,0.05497124397256975,0.06029835820443713,169,0.676,0.615701641795563,0.7309712439725697,0.060298358204437075,0.054971243972569694
mp3,40,250,32,51,0.204,0.158704508175768,0.25825472939600896,0.04529549182423198,0.05425472939600898,178,0.712,0.6529921633129403,0.7645910854532194,0.05900783668705967,0.052591085453219444
opus,016kbps,250,32,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342,187,0.748,0.6907047090119511,0.7977889027522356,0.057295290988048864,0.049788902752235575
opus,032kbps,250,32,54,0.216,0.1694915254237288,0.27110449981405726,0.04650847457627119,0.05510449981405727,192,0.768,0.7118582531392634,0.8160300047349385,0.056141746860736585,0.04803000473493846
opus,064kbps,250,32,43,0.172,0.13027404955334546,0.22365375424240744,0.04172595044665453,0.05165375424240745,185,0.74,0.6822851203436464,0.7904506329765344,0.05771487965635358,0.050450632976534404
opus,128kbps,250,32,37,0.148,0.10931920870538417,0.1973350197583507,0.038680791294615824,0.049335019758350696,179,0.716,0.6571607478551965,0.7683014301329661,0.058839252144803456,0.052301430132966176
opus,256kbps,250,32,38,0.152,0.11278704166232252,0.20174611602341536,0.039212958337677475,0.04974611602341536,171,0.684,0.6239541772841809,0.7384765669279577,0.06004582271581915,0.05447656692795766
quantization,04,250,32,235,0.94,0.9033762972146848,0.9633059172056464,0.036623702785315126,0.023305917205646454,194,0.776,0.7203636303789512,0.8232824859392568,0.05563636962104879,0.04728248593925677
quantization,06,250,32,224,0.896,0.8519787370865683,0.92803525589173,0.04402126291343167,0.03203525589172995,183,0.732,0.6738883512130036,0.7830895436631711,0.05811164878699637,0.05108954366317109
quantization,08,250,32,197,0.788,0.7331716894914767,0.8341112144927404,0.054828310508523326,0.04611121449274036,183,0.732,0.6738883512130036,0.7830895436631711,0.05811164878699637,0.05108954366317109
quantization,12,250,32,158,0.632,0.5706410625109003,0.6893636018151991,0.06135893748909971,0.05736360181519906,183,0.732,0.6738883512130036,0.7830895436631711,0.05811164878699637,0.05108954366317109
quantization,16,250,32,124,0.496,0.43455262260224253,0.5575684481757543,0.06144737739775746,0.06156844817575435,192,0.768,0.7118582531392634,0.8160300047349385,0.056141746860736585,0.04803000473493846
smooth,06,250,32,38,0.152,0.11278704166232252,0.20174611602341536,0.039212958337677475,0.04974611602341536,190,0.76,0.7033784234651377,0.8087519759650581,0.05662157653486233,0.04875197596505809
smooth,10,250,32,44,0.176,0.13379907724930237,0.22800765576845358,0.04220092275069762,0.05200765576845359,179,0.716,0.6571607478551965,0.7683014301329661,0.058839252144803456,0.052301430132966176
smooth,14,250,32,39,0.156,0.11626512943648533,0.20614695747125555,0.03973487056351467,0.050146957471255554,185,0.74,0.6822851203436464,0.7904506329765344,0.05771487965635358,0.050450632976534404
smooth,18,250,32,42,0.168,0.12675788778063776,0.21929098679311218,0.04124211221936225,0.05129098679311217,190,0.76,0.7033784234651377,0.8087519759650581,0.05662157653486233,0.04875197596505809
smooth,22,250,32,41,0.164,0.12325083757520047,0.21491910777654646,0.040749162424799534,0.05091910777654646,183,0.732,0.6738883512130036,0.7830895436631711,0.05811164878699637,0.05108954366317109
time_stretch,0.7,250,32,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,190,0.76,0.7033784234651377,0.8087519759650581,0.05662157653486233,0.04875197596505809
time_stretch,0.9,250,32,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,189,0.756,0.699147815859017,0.8051036543491759,0.05685218414098303,0.04910365434917585
time_stretch,1.1,250,32,249,0.996,0.977693652885133,0.9992935706432406,0.018306347114867005,0.003293570643240651,185,0.74,0.6822851203436464,0.7904506329765344,0.05771487965635358,0.050450632976534404
time_stretch,1.3,250,32,249,0.996,0.977693652885133,0.9992935706432406,0.018306347114867005,0.003293570643240651,188,0.752,0.6949232766848457,0.8014492643013442,0.05707672331515434,0.04944926430134422
time_stretch,1.5,250,32,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,189,0.756,0.699147815859017,0.8051036543491759,0.05685218414098303,0.04910365434917585
