attack,config,n,threshold,stamp_fn,stamp_fnr,stamp_ci95_lower,stamp_ci95_upper,stamp_ci95_minus,stamp_ci95_plus,stampv2_fn,stampv2_fnr,stampv2_ci95_lower,stampv2_ci95_upper,stampv2_ci95_minus,stampv2_ci95_plus,audioseal_fn,audioseal_fnr,audioseal_ci95_lower,audioseal_ci95_upper,audioseal_ci95_minus,audioseal_ci95_plus,wavmark_fn,wavmark_fnr,wavmark_ci95_lower,wavmark_ci95_upper,wavmark_ci95_minus,wavmark_ci95_plus
highpass,0.09,250,14,28,0.112,0.07863379432036412,0.15711007114534364,0.033366205679635885,0.04511007114534364,111,0.444,0.383718776205658,0.5059762146862998,0.06028122379434203,0.061976214686299824,204,0.816,0.7633102234972703,0.8591251850409677,0.05268977650272966,0.04312518504096774,8,0.032,0.016302169731072406,0.061863111294575085,0.015697830268927595,0.029863111294575084
highpass,0.1,250,14,28,0.112,0.07863379432036412,0.15711007114534364,0.033366205679635885,0.04511007114534364,99,0.396,0.3373887778853423,0.45775906234257946,0.058611222114657746,0.06175906234257944,211,0.844,0.7938530425287444,0.8837348705635146,0.05014695747125553,0.03973487056351466,23,0.092,0.06208656638760557,0.13426265296808712,0.02991343361239443,0.04226265296808712
lowpass,0.1,250,14,28,0.112,0.07863379432036412,0.15711007114534364,0.033366205679635885,0.04511007114534364,85,0.34,0.2840956187275826,0.40074721239229694,0.055904381272417425,0.06074721239229691,212,0.848,0.7982538839765846,0.8872129583376774,0.04974611602341539,0.03921295833767746,8,0.032,0.016302169731072406,0.061863111294575085,0.015697830268927595,0.029863111294575084
lowpass,0.2,250,14,22,0.088,0.058830921041025906,0.12963936909266374,0.02916907895897409,0.04163936909266375,85,0.34,0.2840956187275826,0.40074721239229694,0.055904381272417425,0.06074721239229691,204,0.816,0.7633102234972703,0.8591251850409677,0.05268977650272966,0.04312518504096774,4,0.016,0.006239123654412256,0.04041044048322319,0.009760876345587744,0.02441044048322319
lowpass,0.3,250,14,22,0.088,0.058830921041025906,0.12963936909266374,0.02916907895897409,0.04163936909266375,85,0.34,0.2840956187275826,0.40074721239229694,0.055904381272417425,0.06074721239229691,224,0.896,0.8519787370865683,0.92803525589173,0.04402126291343167,0.03203525589172995,4,0.016,0.006239123654412256,0.04041044048322319,0.009760876345587744,0.02441044048322319
lowpass,0.4,250,14,22,0.088,0.058830921041025906,0.12963936909266374,0.02916907895897409,0.04163936909266375,85,0.34,0.2840956187275826,0.40074721239229694,0.055904381272417425,0.06074721239229691,207,0.828,0.7763462457575925,0.8697259504466546,0.05165375424240748,0.041725950446654614,4,0.016,0.006239123654412256,0.04041044048322319,0.009760876345587744,0.02441044048322319
lowpass,0.5,250,14,22,0.088,0.058830921041025906,0.12963936909266374,0.02916907895897409,0.04163936909266375,85,0.34,0.2840956187275826,0.40074721239229694,0.055904381272417425,0.06074721239229691,210,0.84,0.7894621432010622,0.8802468406691939,0.05053785679893774,0.04024684066919393,4,0.016,0.006239123654412256,0.04041044048322319,0.009760876345587744,0.02441044048322319
mp3,08,250,14,187,0.748,0.6907047090119511,0.7977889027522356,0.057295290988048864,0.049788902752235575,89,0.356,0.2992352701441643,0.41712327786372716,0.056764729855835694,0.06112327786372718,216,0.864,0.815963246638718,0.901019312563556,0.04803675336128199,0.03701931256355606,236,0.944,0.9082084818368784,0.966352661805456,0.03579151816312154,0.02235266180545603
mp3,16,250,14,59,0.236,0.1876058720228644,0.2923847993249367,0.048394127977135576,0.05638479932493673,93,0.372,0.3144454410853008,0.43342882381060277,0.05755455891469918,0.06142882381060277,211,0.844,0.7938530425287444,0.8837348705635146,0.05014695747125553,0.03973487056351466,133,0.532,0.47013005664920066,0.5929013771268234,0.06186994335079937,0.06090137712682342
mp3,24,250,14,51,0.204,0.158704508175768,0.25825472939600896,0.04529549182423198,0.05425472939600898,97,0.388,0.32972419944620157,0.44966578233771404,0.05827580055379844,0.061665782337714026,205,0.82,0.7676470766122656,0.8626672611479753,0.05235292338773434,0.042667261147975366,137,0.548,0.48604350819877906,0.6085036424652572,0.06195649180122098,0.06050364246525719
mp3,32,250,14,47,0.188,0.14442509786439153,0.24101842281937344,0.04357490213560847,0.05301842281937344,93,0.372,0.3144454410853008,0.43342882381060277,0.05755455891469918,0.06142882381060277,211,0.844,0.7938530425287444,0.8837348705635146,0.05014695747125553,0.03973487056351466,146,0.584,0.5220798207694061,0.6433776928926572,0.0619201792305939,0.05937769289265726
mp3,40,250,14,30,0.12,0.08536266215857913,0.16613906175113463,0.03463733784142087,0.046139061751134636,95,0.38,0.3220763555106477,0.44155576782926187,0.05792364448935228,0.061555767829261865,218,0.872,0.8248867899270436,0.9078536277192366,0.047113210072956435,0.035853627719236614,79,0.316,0.26152343307204234,0.37604582271581904,0.05447656692795766,0.06004582271581904
opus,016kbps,250,14,83,0.332,0.27655293258546276,0.39253204009041076,0.055447067414537254,0.060532040090410744,136,0.544,0.48205927010382327,0.6046089513382098,0.06194072989617677,0.06060895133820976,213,0.852,0.8026649802416493,0.8906807912946159,0.04933501975835064,0.03868079129461588,218,0.872,0.8248867899270436,0.9078536277192366,0.047113210072956435,0.035853627719236614
opus,032kbps,250,14,49,0.196,0.15154950681109253,0.2496518723166785,0.04445049318890748,0.053651872316678506,100,0.4,0.34122728621763343,0.46179948323229125,0.05877271378236659,0.06179948323229123,211,0.844,0.7938530425287444,0.8837348705635146,0.05014695747125553,0.03973487056351466,83,0.332,0.27655293258546276,0.39253204009041076,0.055447067414537254,0.060532040090410744
opus,064kbps,250,14,24,0.096,0.06536141854642746,0.13886673003126823,0.03063858145357254,0.04286673003126823,86,0.344,0.2878738024449977,0.40484795789688477,0.056126197555002255,0.0608479578968848,211,0.844,0.7938530425287444,0.8837348705635146,0.05014695747125553,0.03973487056351466,9,0.036,0.019053062687361854,0.06699114756028864,0.016946937312638143,0.03099114756028864
opus,128kbps,250,14,23,0.092,0.06208656638760557,0.13426265296808712,0.02991343361239443,0.04226265296808712,84,0.336,0.2803219824371439,0.3966419194607326,0.05567801756285612,0.06064191946073255,215,0.86,0.8115192932332553,0.8975843367470158,0.04848070676674465,0.03758433674701578,5,0.02,0.008572197944651562,0.045956295414986886,0.011427802055348438,0.025956295414986886
