attack,config,n,threshold,stampv40_fn,stampv40_fnr,stampv40_ci95_lower,stampv40_ci95_upper,stampv40_ci95_minus,stampv40_ci95_plus,silentcipher_fn,silentcipher_fnr,silentcipher_ci95_lower,silentcipher_ci95_upper,silentcipher_ci95_minus,silentcipher_ci95_plus
gaussian_noise,40,250,32,27,0.108,0.07529144734526685,0.1525734888984379,0.032708552654733145,0.04457348889843789,28,0.112,0.07863379432036412,0.15711007114534364,0.033366205679635885,0.04511007114534364
highpass,0.06,250,32,29,0.116,0.08199108127964577,0.161631713408065,0.034008918720354234,0.045631713408065,216,0.864,0.815963246638718,0.901019312563556,0.04803675336128199,0.03701931256355606
highpass,0.07,250,32,33,0.132,0.09555744444267568,0.17958106713304717,0.03644255555732433,0.04758106713304716,220,0.88,0.8338609382488654,0.9146373378414209,0.04613906175113458,0.03463733784142087
highpass,0.08,250,32,33,0.132,0.09555744444267568,0.17958106713304717,0.03644255555732433,0.04758106713304716,226,0.904,0.8611332699687319,0.9346385814535726,0.042866730031268174,0.030638581453572566
highpass,0.09,250,32,31,0.124,0.08874794216937745,0.1706327109623393,0.035252057830622546,0.04663271096233931,238,0.952,0.9179869282923764,0.9723320737939639,0.03401307170762358,0.020332073793963956
highpass,0.1,250,32,32,0.128,0.09214637228076344,0.17511321007295638,0.03585362771923656,0.04711321007295638,246,0.984,0.9595895595167768,0.9937608763455877,0.02441044048322316,0.009760876345587755
lowpass,0.1,250,32,46,0.184,0.14087481495903226,0.2366897765027297,0.04312518504096774,0.05268977650272971,80,0.32,0.26527371529560945,0.380174469714255,0.05472628470439056,0.060174469714255
lowpass,0.2,250,32,26,0.104,0.07196474410827003,0.14802126291343168,0.032035255891729966,0.04402126291343168,17,0.068,0.04288555795457601,0.1061900860690986,0.02511444204542399,0.0381900860690986
lowpass,0.3,250,32,26,0.104,0.07196474410827003,0.14802126291343168,0.032035255891729966,0.04402126291343168,20,0.08,0.052381922070894156,0.1203305096187895,0.027618077929105846,0.04033050961878949
lowpass,0.4,250,32,26,0.104,0.07196474410827003,0.14802126291343168,0.032035255891729966,0.04402126291343168,20,0.08,0.052381922070894156,0.1203305096187895,0.027618077929105846,0.04033050961878949
lowpass,0.5,250,32,26,0.104,0.07196474410827003,0.14802126291343168,0.032035255891729966,0.04402126291343168,20,0.08,0.052381922070894156,0.1203305096187895,0.027618077929105846,0.04033050961878949
mp3,08,250,32,244,0.976,0.94863720404899,0.9889553733693685,0.02736279595100999,0.012955373369368473,235,0.94,0.9033762972146848,0.9633059172056464,0.036623702785315126,0.023305917205646454
mp3,16,250,32,88,0.352,0.29544366352974316,0.41303595525614534,0.05655633647025682,0.06103595525614536,225,0.9,0.8565473757413067,0.9313455464589946,0.04345262425869334,0.031345546458994566
mp3,24,250,32,57,0.228,0.1803405041462213,0.2838923087575739,0.04765949585377871,0.055892308757573866,239,0.956,0.9229414729274126,0.9752564583809309,0.033058527072587385,0.01925645838093093
mp3,32,250,32,63,0.252,0.20221109724776432,0.30929529098804887,0.049788902752235686,0.057295290988048864,234,0.936,0.8985776859091057,0.9602255992892228,0.03742231409089436,0.024225599289222743
mp3,40,250,32,43,0.172,0.13027404955334546,0.22365375424240744,0.04172595044665453,0.05165375424240745,177,0.708,0.6488287723066753,0.7608755472374812,0.05917122769332461,0.052875547237481224
opus,016kbps,250,32,160,0.64,0.5787938053589917,0.6969687174111138,0.061206194641008294,0.056968717411113756,246,0.984,0.9595895595167768,0.9937608763455877,0.02441044048322316,0.009760876345587755
opus,032kbps,250,32,70,0.28,0.22799348323513563,0.33866540955469876,0.0520065167648644,0.05866540955469873,201,0.804,0.7503481276833216,0.8484504931889075,0.05365187231667845,0.04445049318890748
opus,064kbps,250,32,30,0.12,0.08536266215857913,0.16613906175113463,0.03463733784142087,0.046139061751134636,55,0.22,0.17310114571003238,0.2753738087497567,0.04689885428996762,0.0553738087497567
